ID	Dev._Stage	Timepoint	Site	Date	Tree_spec.	Tree_Numb	Tree_ID	Defoliation_level	Sample	Latitude	Longitude	Dposcontrol_extraction_ID	Dposcontrol_extraction_kit	Notes	Date_of_extraction	Negative
b91	Foliage	2	T016	7/17/2015	Balsam_fir	Spr2	T016_Spr2	poscontrol	N/A	50.309223	-67.402817	b91	Kit2		20/07/18	N8
b93	Foliage	2	T017	7/18/2015	Balsam_fir	Spr2	T017_Spr2	45	N/A	50.394383	-68.85262	b93	Kit2		20/07/18	N8
b94	Foliage	2	T017	7/18/2015	Spruce	Bf2	T017_Bf2	15	N/A	50.394383	-68.85262	b94	Kit2		20/07/18	N8
b95	Foliage	2	T017	7/18/2015	Spruce	Bf3	T017_Bf3	15	N/A	50.394383	-68.85262	b95	Kit2		20/07/18	N8
c01	L6	2	NL2	3/7/2015	Balsam_fir	Spr3	NL2_Spr3	70	A	53.38794	-60.41273	c01	Kit3		23/07/18	N9
c02	L6	2	NL3	3/7/2015	Balsam_fir	Spr3	NL3_Spr3	70	A	53.33703	-60.19949	c02	Kit3		23/07/18	N9
c03	L6	2	NL4	3/7/2015	Spruce	Bf2	NL4_Bf2	70	A	53.27735	-60.49179	c03	Kit3		23/07/18	N9
c05	L6	2	NL4	3/7/2015	Balsam_fir	Spr3	NL4_Spr3	70	A	53.27735	-60.49179	c05	Kit3		23/07/18	N9
c06	L6	2	NL5	9/7/2015	Spruce	Bf2	NL5_Bf2	30	A	53.28057	-60.62067	c06	Kit3		23/07/18	N9
c07	L6	2	NL5	9/7/2015	Balsam_fir	Spr3	NL5_Spr3	10	A	53.28057	-60.62067	c07	Kit3		23/07/18	N9
c08	L6	2	QT1	6/24/2015	Balsam_fir	Spr1	QT1_Spr1	15	A	48.19458336	-67.27085	c08	Kit3		23/07/18	N9
c09	L6	2	QT1	6/24/2015	Balsam_fir	Spr2	QT1_Spr2	5	A	48.19458336	-67.27085	c09	Kit3		23/07/18	N9
c10	L6	2	QT3	6/18/2015	Spruce	Bf3	QT3_Bf3	15	A	48.24339998	-67.46229996	c10	Kit3		23/07/18	N9
c11	L6	2	QT3	6/18/2015	Balsam_fir	Spr3	QT3_Spr3	35	A	48.24339998	-67.46229996	c11	Kit3		23/07/18	N9
c12	L6	2	QC1	6/18/2015	Balsam_fir	Spr1	QC1_Spr1	5	A	48.19141667	-67.26413333	c12	Kit3		23/07/18	N9
c13	L6	2	QC1	6/18/2015	Balsam_fir	Spr2	QC1_Spr2	55	A	48.19141667	-67.26413333	c13	Kit3		23/07/18	N9
c14	L6	2	QC2	6/18/2015	Spruce	Bf1	QC2_Bf1	5	A	48.2852333	-67.42145	c14	Kit3		23/07/18	N9
c15	L6	2	QC2	6/18/2015	Spruce	Bf3	QC2_Bf3	25	A	48.2852333	-67.42145	c15	Kit3		23/07/18	N9
c16	L6	2	QC2	6/18/2015	Balsam_fir	Spr2	QC2_Spr2	25	A	48.2852333	-67.42145	c16	Kit3		23/07/18	N9
c17	L6	2	QC2	6/18/2015	Spruce	Bf4	QC2_Bf4	45	A	48.2852333	-67.42145	c17	Kit3		23/07/18	N9
c18	L6	2	NL2	3/7/2015	Balsam_fir	Spr1	NL2_Spr1	50	A	53.38794	-60.41273	c18	Kit3		23/07/18	N9
c19	L6	2	NL4	3/7/2015	Balsam_fir	Spr1	NL4_Spr1	70	A	53.27735	-60.49179	c19	Kit3		23/07/18	N9
c20	L6	2	E1	7/11/2015	Spruce	Bf1	E1_Bf1	55	A	49.351164	-67.834043	c20	Kit3		23/07/18	N9
c21	L6	2	T001	7/5/2015	Spruce	Bf2	T001_Bf2	5	A	48.959729	-69.192473	c21	Kit3		23/07/18	N9
c22	L6	2	T001	7/5/2015	Spruce	Bf3	T001_Bf3	5	A	48.959729	-69.192473	c22	Kit3		23/07/18	N9
c23	L6	2	T002	7/5/2015	Balsam_fir	Spr1	T002_Spr1	30	A	49.282723	-69.530557	c23	Kit3		23/07/18	N9
c24	L6	2	T002	7/5/2015	Spruce	Bf2	T002_Bf2	30	A	49.282723	-69.530557	c24	Kit3		23/07/18	N9
c25	L6	2	T003	7/5/2015	Balsam_fir	Spr1	T003_Spr1	30	A	49.645677	-69.83582	c25	Kit3		23/07/18	N10
c26	L6	2	T007	7/8/2015	Balsam_fir	Spr1	T007_Spr1	10	A	49.392944	-68.068699	c26	Kit3		23/07/18	N10
c27	L6	2	T007	7/8/2015	Spruce	Bf2	T007_Bf2	35	A	49.392944	-68.068699	c27	Kit3		23/07/18	N10
c28	L6	2	T008	7/7/2015	Balsam_fir	Spr1	T008_Spr1	20	A	49.23949	-68.597442	c28	Kit3		23/07/18	N10
c29	L6	2	T008	7/7/2015	Balsam_fir	Spr2	T008_Spr2	35	A	49.23949	-68.597442	c29	Kit3		23/07/18	N10
c30	L6	2	T009	7/7/2015	Balsam_fir	Spr1	T009_Spr1	20	A	49.611703	-69.075353	c30	Kit3		23/07/18	N10
c31	L6	2	T009	7/7/2015	Spruce	Bf1	T009_Bf1	15	A	49.611703	-69.075353	c31	Kit3		23/07/18	N10
c32	L6	2	T009	7/7/2015	Spruce	Bf2	T009_Bf2	50	A	49.611703	-69.075353	c32	Kit3		23/07/18	N10
c33	L6	2	T010	7/8/2015	Spruce	Bf2	T010_Bf2	5	A	49.748861	-68.536682	c33	Kit3		23/07/18	N10
c34	L6	2	T010	7/8/2015	Spruce	Bf3	T010_Bf3	3	A	49.748861	-68.536682	c34	Kit3		23/07/18	N10
c36	L6	2	T013	7/18/2015	Balsam_fir	Spr1	T013_Spr1	60	A	50.771329	-68.663839	c36	Kit3		23/07/18	N10
c37	L6	2	T013	7/18/2015	Spruce	Bf2	T013_Bf2	3	A	50.771329	-68.663839	c37	Kit3		23/07/18	N10
c40	L6	2	T016	7/17/2015	Balsam_fir	Spr2	T016_Spr2	poscontrol	A	50.309223	-67.402817	c40	Kit3		23/07/18	N10
c41	L6	2	T016	7/17/2015	Balsam_fir	Spr3	T016_Spr3	20	A	50.309223	-67.402817	c41	Kit3		23/07/18	N10
c42	L6	2	T017	7/18/2015	Balsam_fir	Spr2	T017_Spr2	45	A	50.394383	-68.85262	c42	Kit3		23/07/18	N10
c43	Foliage	2	QT1	6/24/2015	Balsam_fir	Spr1	QT1_Spr1	15	N/A	48.19458336	-67.27085	c43	Kit3		1/8/2018	N11
c44	Foliage	2	QT2	6/18/2015	Balsam_fir	Spr1	QT2_Spr1	15	N/A	48.28358333	-67.47431668	c44	Kit3		1/8/2018	N11
c45	Foliage	2	QT2	6/18/2015	Spruce	Bf3	QT2_Bf3	15	N/A	48.28358333	-67.47431668	c45	Kit3		1/8/2018	N11
c46	Foliage	2	QT3	6/18/2015	Spruce	Bf2	QT3_Bf2	5	N/A	48.24339998	-67.46229996	c46	Kit3		1/8/2018	N11
c47	Foliage	2	QT3	6/18/2015	Balsam_fir	Spr3	QT3_Spr3	35	N/A	48.24339998	-67.46229996	c47	Kit3		1/8/2018	N11
c48	Foliage	2	QC1	6/18/2015	Balsam_fir	Spr1	QC1_Spr1	5	N/A	48.19141667	-67.26413333	c48	Kit3		1/8/2018	N11
c49	Foliage	2	QC1	6/18/2015	Balsam_fir	Spr4	QC1_Spr4	95	N/A	48.19141667	-67.26413333	c49	Kit3		1/8/2018	N11
c50	Foliage	2	QC2	6/18/2015	Spruce	Bf2	QC2_Bf2	45	N/A	48.2852333	-67.42145	c50	Kit3		1/8/2018	N11
c51	Foliage	2	QC2	6/18/2015	Spruce	Bf3	QC2_Bf3	25	N/A	48.2852333	-67.42145	c51	Kit3		1/8/2018	N11
c52	Foliage	2	QC2	6/18/2015	Balsam_fir	Spr2	QC2_Spr2	25	N/A	48.2852333	-67.42145	c52	Kit3		1/8/2018	N11
c53	Foliage	2	QC3	6/18/2015	Balsam_fir	Spr3	QC3_Spr3	45	N/A	48.2680333	-67.44481665	c53	Kit3		1/8/2018	N11
c54	Foliage	2	QC3	6/18/2015	Spruce	Bf2	QC3_Bf2	65	N/A	48.2680333	-67.44481665	c54	Kit3		1/8/2018	N11
c55	Foliage	2	NL2	3/7/2015	Balsam_fir	Spr1	NL2_Spr1	50	N/A	53.38794	-60.41273	c55	Kit3		1/8/2018	N11
c56	Foliage	2	NL3	3/7/2015	Spruce	Bf2	NL3_Bf2	50	N/A	53.33703	-60.19949	c56	Kit3		1/8/2018	N11
c57	Foliage	2	NL4	3/7/2015	Balsam_fir	Spr3	NL4_Spr3	50	N/A	53.27735	-60.49179	c57	Kit3		1/8/2018	N11
c58	Foliage	2	NL5	9/7/2015	Balsam_fir	Spr2	NL5_Spr2	30	N/A	53.28057	-60.62067	c58	Kit3		1/8/2018	N11
c59	Foliage	2	NL5	9/7/2015	Balsam_fir	Spr3	NL5_Spr3	30	N/A	53.28057	-60.62067	c59	Kit3		1/8/2018	N11
c60	Foliage	2	E1	7/11/2015	Balsam_fir	Spr3	E1_Spr3	60	N/A	49.351164	-67.834043	c60	Kit3		1/8/2018	N11
c61	Foliage	2	E1	7/11/2015	Spruce	Bf2	E1_Bf2	50	N/A	49.351164	-67.834043	c61	Kit3		1/8/2018	N11
c62	Foliage	2	T001	7/5/2015	Balsam_fir	Spr2	T001_Spr2	5	N/A	48.959729	-69.192473	c62	Kit3		1/8/2018	N11
c63	Foliage	2	T001	7/5/2015	Balsam_fir	Spr3	T001_Spr3	25	N/A	48.959729	-69.192473	c63	Kit3		1/8/2018	N11
c64	Foliage	2	T001	7/5/2015	Spruce	Bf2	T001_Bf2	5	N/A	48.959729	-69.192473	c64	Kit3		1/8/2018	N11
c65	Foliage	2	T002	7/5/2015	Balsam_fir	Spr2	T002_Spr2	25	N/A	49.282723	-69.530557	c65	Kit3		1/8/2018	N11
c66	Foliage	2	T002	7/5/2015	Balsam_fir	Spr3	T002_Spr3	30	N/A	49.282723	-69.530557	c66	Kit3		1/8/2018	N12
c67	Foliage	2	T003	7/5/2015	Balsam_fir	Spr3	T003_Spr3	15	N/A	49.645677	-69.83582	c67	Kit3		1/8/2018	N12
c68	Foliage	2	T006X	7/17/2015	Balsam_fir	Spr3	T006X_Spr3	10	N/A	49.538392	-67.488708	c68	Kit3		1/8/2018	N12
c69	Foliage	2	T007	7/8/2015	Spruce	Bf2	T007_Bf2	35	N/A	49.392944	-68.068699	c69	Kit3		1/8/2018	N12
c70	Foliage	2	T009	7/7/2015	Spruce	Bf2	T009_Bf2	50	N/A	49.611703	-69.075353	c70	Kit3		1/8/2018	N12
c71	Foliage	2	T010	7/8/2015	Balsam_fir	Spr3	T010_Spr3	65	N/A	49.748861	-68.536682	c71	Kit3		1/8/2018	N12
c72	Foliage	2	T011X	7/15/2015	Spruce	Bf2	T011X_Bf2	2	N/A	49.89622	-68.197646	c72	Kit3		1/8/2018	N12
c73	Foliage	2	T011X	7/15/2015	Spruce	Bf3	T011X_Bf3	5	N/A	49.89622	-68.197646	c73	Kit3		1/8/2018	N12
c74	Foliage	2	T013	7/18/2015	Balsam_fir	Spr2	T013_Spr2	5	N/A	50.771329	-68.663839	c74	Kit3		1/8/2018	N12
c75	Foliage	2	T013	7/18/2015	Balsam_fir	Spr3	T013_Spr3	10	N/A	50.771329	-68.663839	c75	Kit3		1/8/2018	N12
c77	Foliage	2	T015	7/17/2015	Spruce	Bf3	T015_Bf3	55	N/A	50.089301	-67.054625	c77	Kit3		1/8/2018	N12
c78	Foliage	2	T016	7/17/2015	Balsam_fir	Spr3	T016_Spr3	20	N/A	50.309223	-67.402817	c78	Kit3		1/8/2018	N12
c79	Foliage	2	T016	7/17/2015	Spruce	Bf3	T016_Bf3	45	N/A	50.309223	-67.402817	c79	Kit3		1/8/2018	N12
