ID	Dev._Stage	Timepoint	Site	Date	Tree_spec.	Tree_Numb	Tree_ID	Defoliation_level	Sample	Latitude	Longitude	Dposcontrol_extraction_ID	Dposcontrol_extraction_kit	Notes	Date_of_extraction	Negative
a11	L6	2	QT3	6/18/2015	Spruce	Bf2	QT3_Bf2	5	A	48.24339998	-67.46229996	a11	Kit1		23/04/18	N1
a12	L6	2	QC1	6/18/2015	Balsam_fir	Spr3	QC1_Spr3	5	A	48.19141667	-67.26413333	a12	Kit1		23/04/18	N1
a13	L6	2	QC1	6/18/2015	Balsam_fir	Spr4	QC1_Spr4	95	A	48.19141667	-67.26413333	a13	Kit1		23/04/18	N1
a14	L6	2	QC2	6/18/2015	Balsam_fir	Spr1	QC2_Spr1	45	A	48.2852333	-67.42145	a14	Kit1		23/04/18	N1
a15	L6	2	QC3	6/18/2015	Balsam_fir	Spr2	QC3_Spr2	45	A	48.2680333	-67.44481665	a15	Kit1		23/04/18	N1
a16	L6	2	QC3	6/18/2015	Spruce	Bf1	QC3_Bf1	5	A	48.2680333	-67.44481665	a16	Kit1		16/07/18	N2
a17	L6	2	QC3	6/18/2015	Spruce	Bf2	QC3_Bf2	65	A	48.2680333	-67.44481665	a17	Kit1		16/07/18	N2
a18	L6	2	QC3	6/18/2015	Spruce	Bf3	QC3_Bf3	5	A	48.2680333	-67.44481665	a18	Kit1		16/07/18	N2
a19	L6	2	NL1	30/06/2015	Spruce	Bf1	NL1_Bf1	30	A	53.30695	-60.17443	a19	Kit1		16/07/18	N2
a20	L6	2	NL3	3/7/2015	Balsam_fir	Spr1	NL3_Spr1	70	A	53.33703	-60.19949	a20	Kit1		16/07/18	N2
a21	L6	2	NL3	3/7/2015	Spruce	Bf1	NL3_Bf1	70	A	53.33703	-60.19949	a21	Kit1		16/07/18	N2
a22	L6	2	NL4	3/7/2015	Spruce	Bf1	NL4_Bf1	50	A	53.27735	-60.49179	a22	Kit1		16/07/18	N2
a23	L6	2	E1	7/11/2015	Balsam_fir	Spr3	E1_Spr3	60	A	49.351164	-67.834043	a23	Kit1		16/07/18	N2
a24	L6	2	E1	7/11/2015	Spruce	Bf3	E1_Bf3	65	A	49.351164	-67.834043	a24	Kit1		16/07/18	N2
a25	L6	2	T001	7/5/2015	Balsam_fir	Spr1	T001_Spr1	60	A	48.959729	-69.192473	a25	Kit1		16/07/18	N2
a26	L6	2	T001	7/5/2015	Balsam_fir	Spr2	T001_Spr2	5	A	48.959729	-69.192473	a26	Kit1		16/07/18	N2
a27	L6	2	T001	7/5/2015	Balsam_fir	Spr3	T001_Spr3	25	A	48.959729	-69.192473	a27	Kit1		16/07/18	N2
a28	L6	2	T001	7/5/2015	Spruce	Bf1	T001_Bf1	50	A	48.959729	-69.192473	a28	Kit1		16/07/18	N2
a29	L6	2	T002	7/5/2015	Balsam_fir	Spr2	T002_Spr2	25	A	49.282723	-69.530557	a29	Kit1		16/07/18	N2
a30	L6	2	T002	7/5/2015	Balsam_fir	Spr3	T002_Spr3	30	A	49.282723	-69.530557	a30	Kit1		16/07/18	N2
a31	L6	2	T002	7/5/2015	Spruce	Bf1	T002_Bf1	40	A	49.282723	-69.530557	a31	Kit1		16/07/18	N2
a32	L6	2	T003	7/5/2015	Balsam_fir	Spr2	T003_Spr2	15	A	49.645677	-69.83582	a32	Kit1	maybe combined with 33	16/07/18	N2
a33	L6	2	T003	7/5/2015	Spruce	Bf2	T003_Bf2	5	A	49.645677	-69.83582	a33	Kit1	maybe combined with 32	16/07/18	N2
a34	L6	2	T006X	7/17/2015	Balsam_fir	Spr2	T006X_Spr2	5	A	49.538392	-67.488708	a34	Kit1		16/07/18	N2
a35	L6	2	T006X	7/17/2015	Spruce	Bf2	T006X_Bf2	3	A	49.538392	-67.488708	a35	Kit1	pupes	16/07/18	N2
a36	L6	2	T007	7/8/2015	Balsam_fir	Spr2	T007_Spr2	15	A	49.392944	-68.068699	a36	Kit1		16/07/18	N2
a37	L6	2	T008	7/7/2015	Balsam_fir	Spr3	T008_Spr3	30	A	49.23949	-68.597442	a37	Kit1		16/07/18	N2
a40	L6	2	T010	7/8/2015	Balsam_fir	Spr3	T010_Spr3	65	A	49.748861	-68.536682	a40	Kit1		16/07/18	N2
a41	L6	2	T010	7/8/2015	Spruce	Bf1	T010_Bf1	1	A	49.748861	-68.536682	a41	Kit1	****	17/07/18	N3
a45	L6	2	T013	7/18/2015	Spruce	Bf1	T013_Bf1	3	A	50.771329	-68.663839	a45	Kit1	***	17/07/18	N3
a48	L6	2	T015	7/17/2015	Spruce	Bf1	T015_Bf1	10	A	50.089301	-67.054625	a48	Kit1	***	17/07/18	N3
a49	L6	2	T015	7/17/2015	Spruce	Bf2	T015_Bf2	15	A	50.089301	-67.054625	a49	Kit1		17/07/18	N3
a50	L6	2	T015	7/17/2015	Spruce	Bf3	T015_Bf3	55	A	50.089301	-67.054625	a50	Kit1		17/07/18	N3
a52	L6	2	T017	7/18/2015	Balsam_fir	Spr1	T017_Spr1	50	A	50.394383	-68.85262	a52	Kit1		17/07/18	N3
a53	L6	2	T017	7/18/2015	Spruce	Bf2	T017_Bf2	15	A	50.394383	-68.85262	a53	Kit1		17/07/18	N3
a55	Foliage	2	QT1	6/24/2015	Spruce	Bf1	QT1_Bf1	25	N/A	48.19458336	-67.27085	a55	Kit1	7.7	23/04/18	N1
a57	Foliage	2	QT2	6/18/2015	Balsam_fir	Spr3	QT2_Spr3	55	N/A	48.28358333	-67.47431668	a57	Kit1		17/07/18	N3
a59	Foliage	2	QC3	6/18/2015	Balsam_fir	Spr1	QC3_Spr1	45	N/A	48.2680333	-67.44481665	a59	Kit1		17/07/18	N3
a60	Foliage	2	QC3	6/18/2015	Balsam_fir	Spr2	QC3_Spr2	45	N/A	48.2680333	-67.44481665	a60	Kit1		17/07/18	N3
a61	Foliage	2	QC3	6/18/2015	Spruce	Bf1	QC3_Bf1	5	N/A	48.2680333	-67.44481665	a61	Kit1		17/07/18	N3
a62	Foliage	2	QC3	6/18/2015	Spruce	Bf3	QC3_Bf3	5	N/A	48.2680333	-67.44481665	a62	Kit1		17/07/18	N3
a63	Foliage	2	NL1	30/06/2015	Balsam_fir	Spr2	NL1_Spr2	50	N/A	53.30695	-60.17443	a63	Kit1		17/07/18	N3
a64	Foliage	2	NL1	30/06/2015	Spruce	Bf1	NL1_Bf1	50	N/A	53.30695	-60.17443	a64	Kit1		17/07/18	N3
a65	Foliage	2	NL2	3/7/2015	Balsam_fir	Spr3	NL2_Spr3	50	N/A	53.38794	-60.41273	a65	Kit1		17/07/18	N3
a67	Foliage	2	NL3	3/7/2015	Balsam_fir	Spr2	NL3_Spr2	50	N/A	53.33703	-60.19949	a67	Kit1		17/07/18	N3
a68	Foliage	2	NL3	3/7/2015	Balsam_fir	Spr3	NL3_Spr3	50	N/A	53.33703	-60.19949	a68	Kit1		17/07/18	N3
a69	Foliage	2	NL3	3/7/2015	Spruce	Bf1	NL3_Bf1	50	N/A	53.33703	-60.19949	a69	Kit1		17/07/18	N3
a70	Foliage	2	NL3	3/7/2015	Spruce	Bf3	NL3_Bf3	50	N/A	53.33703	-60.19949	a70	Kit1		17/07/18	N3
a71	Foliage	2	NL4	3/7/2015	Balsam_fir	Spr2	NL4_Spr2	50	N/A	53.27735	-60.49179	a71	Kit1		17/07/18	N4
a72	Foliage	2	NL4	3/7/2015	Spruce	Bf1	NL4_Bf1	50	N/A	53.27735	-60.49179	a72	Kit1		17/07/18	N4
a74	Foliage	2	NL5	9/7/2015	Balsam_fir	Spr1	NL5_Spr1	50	N/A	53.28057	-60.62067	a74	Kit1		17/07/18	N4
a75	Foliage	2	NL5	9/7/2015	Spruce	Bf1	NL5_Bf1	50	N/A	53.28057	-60.62067	a75	Kit1		17/07/18	N4
a76	Foliage	2	NL5	9/7/2015	Spruce	Bf2	NL5_Bf2	50	N/A	53.28057	-60.62067	a76	Kit1		17/07/18	N4
a77	Foliage	2	E1	7/11/2015	Spruce	Bf3	E1_Bf3	65	N/A	49.351164	-67.834043	a77	Kit1		17/07/18	N4
a78	Foliage	2	T002	7/5/2015	Spruce	Bf3	T002_Bf3	30	N/A	49.282723	-69.530557	a78	Kit1		17/07/18	N4
a79	Foliage	2	T003	7/5/2015	Spruce	Bf2	T003_Bf2	5	N/A	49.645677	-69.83582	a79	Kit1		17/07/18	N4
a80	Foliage	2	T006X	7/17/2015	Spruce	Bf2	T006X_Bf2	3	N/A	49.538392	-67.488708	a80	Kit1		17/07/18	N4
a81	Foliage	2	T006X	7/17/2015	Spruce	Bf3	T006X_Bf3	2	N/A	49.538392	-67.488708	a81	Kit1		17/07/18	N4
a83	Foliage	2	T007	7/8/2015	Balsam_fir	Spr3	T007_Spr3	25	N/A	49.392944	-68.068699	a83	Kit1	maybe combined with 84	17/07/18	N4
a84	Foliage	2	T007	7/8/2015	Spruce	Bf3	T007_Bf3	25	N/A	49.392944	-68.068699	a84	Kit1	maybe combined with 83	17/07/18	N4
a85	Foliage	2	T008	7/7/2015	Balsam_fir	Spr3	T008_Spr3	30	N/A	49.23949	-68.597442	a85	Kit1		17/07/18	N4
a86	Foliage	2	T009	7/7/2015	Balsam_fir	Spr3	T009_Spr3	20	N/A	49.611703	-69.075353	a86	Kit1		17/07/18	N4
a87	Foliage	2	T010	7/8/2015	Balsam_fir	Spr2	T010_Spr2	3	N/A	49.748861	-68.536682	a87	Kit1		17/07/18	N4
a88	Foliage	2	T010	7/8/2015	Spruce	Bf2	T010_Bf2	5	N/A	49.748861	-68.536682	a88	Kit1		17/07/18	N4
a89	Foliage	2	T011X	7/15/2015	Balsam_fir	Spr2	T011X_Spr2	5	N/A	49.89622	-68.197646	a89	Kit1		17/07/18	N4
a90	Foliage	2	T012X	7/15/2015	Balsam_fir	Spr3	T012X_Spr3	3	N/A	50.229951	-68.235794	a90	Kit1		17/07/18	N4
a91	Foliage	2	T012X	7/15/2015	Spruce	Bf2	T012X_Bf2	3	N/A	50.229951	-68.235794	a91	Kit1		17/07/18	N4
a92	Foliage	2	T012X	7/15/2015	Spruce	Bf3	T012X_Bf3	20	N/A	50.229951	-68.235794	a92	Kit1		17/07/18	N4
a93	Foliage	2	T013	7/18/2015	Spruce	Bf3	T013_Bf3	3	N/A	50.771329	-68.663839	a93	Kit1		17/07/18	N4
a94	Foliage	2	T015	7/17/2015	Balsam_fir	Spr3	T015_Spr3	35	N/A	50.089301	-67.054625	a94	Kit1		17/07/18	N4
a95	Foliage	2	T017	7/18/2015	Balsam_fir	Spr3	T017_Spr3	10	N/A	50.394383	-68.85262	a95	Kit1		17/07/18	N4
b01	L6	2	NL1	30/06/2015	Spruce	Bf2	NL1_Bf2	30	A	53.30695	-60.17443	b01	Kit2		18/07/18	N5
b02	L6	2	NL1	30/06/2015	Balsam_fir	Spr2	NL1_Spr2	50	A	53.30695	-60.17443	b02	Kit2		18/07/18	N5
b04	L6	2	NL2	3/7/2015	Balsam_fir	Spr2	NL2_Spr2	50	A	53.38794	-60.41273	b04	Kit2		18/07/18	N5
b05	L6	2	NL3	3/7/2015	Spruce	Bf3	NL3_Bf3	70	A	53.33703	-60.19949	b05	Kit2		18/07/18	N5
b06	L6	2	NL3	3/7/2015	Balsam_fir	Spr2	NL3_Spr2	70	A	53.33703	-60.19949	b06	Kit2		18/07/18	N5
b07	L6	2	NL4	3/7/2015	Balsam_fir	Spr2	NL4_Spr2	70	A	53.27735	-60.49179	b07	Kit2		18/07/18	N5
b08	L6	2	NL5	9/7/2015	Spruce	Bf3	NL5_Bf3	30	A	53.28057	-60.62067	b08	Kit2		18/07/18	N5
b09	L6	2	QT2	6/18/2015	Spruce	Bf2	QT2_Bf2	25	A	48.28358333	-67.47431668	b09	Kit2		18/07/18	N5
b10	L6	2	QT2	6/18/2015	Balsam_fir	Spr2	QT2_Spr2	25	A	48.28358333	-67.47431668	b10	Kit2		18/07/18	N5
b11	L6	2	QT3	6/18/2015	Balsam_fir	Spr1	QT3_Spr1	55	A	48.24339998	-67.46229996	b11	Kit2		18/07/18	N5
b12	L6	2	QT3	6/18/2015	Balsam_fir	Spr2	QT3_Spr2	15	A	48.24339998	-67.46229996	b12	Kit2		18/07/18	N5
b13	L6	2	QC1	6/18/2015	Balsam_fir	Spr5	QC1_Spr5	5	A	48.19141667	-67.26413333	b13	Kit2		18/07/18	N5
b14	L6	2	QC2	6/18/2015	Spruce	Bf2	QC2_Bf2	45	A	48.2852333	-67.42145	b14	Kit2		18/07/18	N5
b15	L6	2	QC3	6/18/2015	Balsam_fir	Spr1	QC3_Spr1	45	A	48.2680333	-67.44481665	b15	Kit2		18/07/18	N5
b16	L6	2	QC3	6/18/2015	Balsam_fir	Spr3	QC3_Spr3	45	A	48.2680333	-67.44481665	b16	Kit2		18/07/18	N5
b17	L6	2	NL1	30/06/2015	Balsam_fir	Spr1	NL1_Spr1	50	A	53.30695	-60.17443	b17	Kit2		18/07/18	N5
b19	L6	2	NL5	9/7/2015	Balsam_fir	Spr1	NL5_Spr1	10	A	53.28057	-60.62067	b19	Kit2		18/07/18	N5
b20	L6	2	NL5	9/7/2015	Spruce	Bf1	NL5_Bf1	30	A	53.28057	-60.62067	b20	Kit2		18/07/18	N5
b21	L6	2	E1	7/11/2015	Balsam_fir	Spr1	E1_Spr1	80	A	49.351164	-67.834043	b21	Kit2		18/07/18	N5
b22	L6	2	E1	7/11/2015	Balsam_fir	Spr2	E1_Spr2	70	A	49.351164	-67.834043	b22	Kit2		18/07/18	N5
b23	L6	2	E1	7/11/2015	Spruce	Bf2	E1_Bf2	50	A	49.351164	-67.834043	b23	Kit2		18/07/18	N5
b24	L6	2	T002	7/5/2015	Spruce	Bf3	T002_Bf3	30	A	49.282723	-69.530557	b24	Kit2		18/07/18	N5
b25	L6	2	T003	7/5/2015	Balsam_fir	Spr3	T003_Spr3	15	A	49.645677	-69.83582	b25	Kit2		18/07/18	N5
b26	L6	2	T003	7/5/2015	Spruce	Bf1	T003_Bf1	20	A	49.645677	-69.83582	b26	Kit2	*****	18/07/18	N6
b27	L6	2	T003	7/5/2015	Spruce	Bf3	T003_Bf3	15	A	49.645677	-69.83582	b27	Kit2		18/07/18	N6
b30	L6	2	T007	7/8/2015	Balsam_fir	Spr3	T007_Spr3	25	A	49.392944	-68.068699	b30	Kit2		18/07/18	N6
